자연어 쿼리,tagging된 자연어 쿼리,활용 여부,DB Query,,,,
who were queen elizabeth 1 parents?,who were <PERSON> parents?,O, match (p)-[:CHILD]-(h) where h.name=<PERSON> return p.name,,,,
what do you want from me jerrod niemann lyrics meaning?,what do you want from me <PERSON> lyrics meaning?,X,,,,,
what did robert koch do?,what did <PERSON> do?,O,match (p:Human)-[r:OCCUPATION]-(u) where p.name=<PERSON> return u.name,,,,
who does cristiano ronaldo play for?,who does <PERSON> play for?,X,,,,,
what currency is best to take to dominican republic?,what currency is best to take to <LOCATION>?,O,match(p:Country)->[r:CURRENCY]-(u) where p.name=<LOCATION> return u.name,,,,
who's betty white?,who's <PERSON>?,O,match (p:Human) where p.name=<PERSON> return p.description,,,,
what has been discovered on mars so far?,what has been discovered on <LOCATION> so far?,X,,,,,
who is lleyton hewitt?,who is <PERSON>?,O,match (p:Human) where p.name=<PERSON> return p.description,,,,
what movies did quentin tarantino star in?,what movies did <PERSON> star in?,O,match(p:Human)<-[r:CAST_MEMBER]-(u) where p.name=<PERSON> return u.name,,,,
what language does the new zealand speak?,what language does the <LOCATION> speak?,O,match(p:Country)->[r:LANGUAGE_USED]-(u) where p.name=<LOCATION> return u.name,,,,
what kind of cancer killed larry hagman have?,what kind of cancer killed <PERSON> have?,X,,,,,
what kind of drugs does charlie sheen do?,what kind of drugs does <PERSON> do?,X,,,,,
who is clint eastwood dating?,who is <PERSON> dating?,X,,,,,
what county is sacramento located in?,what county is <LOCATION> located in?,X,,,,,
what did audrey hepburn died of?,what did <PERSON> died of?,X,,,,,
what country was the treaty of versailles written?,what country was the treaty of <LOCATION> written?,X,,,,,
what is st mary mascot?,what is st <PERSON>?,X,,,,,
who was irving berlin and what did he do?,who was <LOCATION> and what did he do?,X,,,,,
who shot j lennon?,who shot j <PERSON>?,X,,,,,
what happened during william henry harrison presidency?,what happened during <PERSON> presidency?,X,,,,,
where is the denver broncos stadium located?,where is the <ORGANIZATION> stadium located?,O,match (p)-[r:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(u) where p.name=<ORGANIZATION> return u.name,,,,
where did sir ernest shackleton live?,where did sir <PERSON> live?,O,match (p:Human)-[r:RESIDENCE]-(u) where p.name=<PERSON> return u.name,,,,
what type of music is scott joplin?,what type of music is <PERSON>?,O,match (p:Human)-[r:GENRE]-(u) where p.name:<PERSON> return u.name,,,,
where did the welsh language originate from?,where did the <MISC> language originate from?,X,,,,,
who does leia think her father is?,who does <PERSON> think her father is?,X,,,,,
what languages do people speak in switzerland?,what languages do people speak in <LOCATION>?,O,match(p:Country)->[r:LANGUAGE_USED]-(u) where p.name=<LOCATION> return u.name,,,,
who is president of france?,who is president of <LOCATION>?,X,,,,,
who did alf's voice?,who did <PERSON>'s voice?,X,,,,,
what was theodore roosevelt's political party?,what was <PERSON>'s political party?,X,,,,,
what year were the cincinnati reds founded?,what <DURATION> were the <ORGANIZATION> founded?,X,,,,,
where ulysses s grant go to school?,where <PERSON> go to school?,O,match(p:Human)-[r:EDUCATED_AT]-(u) where p.name=<PERSON> return u.name,,,,
where is kia cars made?,where is <ORGANIZATION> cars made?,X,,,,,
what magazine did edgar allan poe work for?,what magazine did <PERSON> work for?,X,,,,,
where are sunbeam appliances made?,where are <ORGANIZATION> appliances made?,X,,,,,
where did chickasaw indians live?,where did <ORGANIZATION> live?,X,,,,,
what happened after anne frank died?,what happened after <PERSON> died?,X,,,,,
what music did antonio vivaldi compose?,what music did <PERSON> compose?,O,match (p:Human)-[r:PRODUCE]-(u) where p.name=<PERSON> return u.name,,,,
who plays batman in 2012?,who plays <PERSON> in <DATE>?,X,,,,,
what is the timezone in vancouver?,what is the timezone in <LOCATION>?,O,match (location)-[:LOCATED_IN_TIME_ZONE]-(timezone) where location.name=<LOCATION> return timezone.name,,,,
what time is world cup soccer?,what time is <MISC> soccer?,X,,,,,
what county is stockton ca located in?,what county is <PERSON> ca located in?,X,,,,,
what did ronnie radke do?,what did <PERSON> do?,O,match (p:Human)-[r:OCCUPATION]-(u) where p.name=<PERSON> return u.name,,,,
where does selena gomez live right now 2010?,where does <PERSON> live <DATE>?,O,match (p:Human)-[r:RESIDENCE]-(u) where p.name=<PERSON> return u.name,,,,
who is the member of rajya sabha?,who is the member of <LOCATION>?,X,,,,,
what form of government does czech republic have?,what form of government does <LOCATION> have?,O,match(a)-[:BASIC_FORM_OF_GOVERNMENT]-(b) where a.name=<LOCATION> return b.name,,,,
who is the leader of syria now?,who is the leader of <LOCATION> <DATE>?,X,,,,,
what was eli whitney education?,what was <PERSON> education?,O,match(p:Human)-[r:EDUCATED_AT]-(u) where p.name=<PERSON> return u.name,,,,
what movies has renee zellweger been in?,what movies has <PERSON> been in?,O,match(p:Human)<-[r:CAST_MEMBER]-(u) where p.name=<PERSON> return u.name,,,,
what other writers influenced charles dickens?,what other writers influenced <PERSON>?,X,,,,,
where jay z was raised?,where <PERSON> was raised?,X,,,,,
what two countries is the us at war with?,what <NUMBER> countries is the <LOCATION> at war with?,X,,,,,
where did the assyrian empire start?,where did the <MISC> empire start?,O,match (p:Country)-[r:INCEPTION]-(u) where p.name=<LOCATION> return u.name,,,,
what currency does the dominican republic?,what currency does the <LOCATION>?,O,match(p:Country)->[r:CURRENCY]-(u) where p.name=<LOCATION> return u.name,,,,
what is daniel radcliffe name in the woman in black?,what is <PERSON> name in the woman in black?,X,,,,,
what money do they use in thailand?,what money do they use in <LOCATION>?,O,match(p:Country)->[r:CURRENCY]-(u) where p.name=<LOCATION> return u.name,,,,
where was battle of verdun located?,where was battle of <LOCATION> located?,O,match (p)-[r:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(u) where p.name=<LOCATION> return u.name,,,,
where does avril lavigne live now?,where does <PERSON> live <DATE>?,O,match (p:Human)-[r:RESIDENCE]-(u) where p.name=<PERSON> return u.name,,,,
who plays stewie griffin's voice family guy?,who plays <PERSON>'s voice family guy?,X,,,,,
what should i see in london england?,what should i see in <LOCATION>?,X,,,,,
what currency is used in england 2012?,what currency is used in <LOCATION> <DATE>?,O,"match(p:Country)->[r:CURRENCY]-(u) where p.name=<LOCATION>, date=2012 return u.name",,,,
what language do iraqi people speak?,what language do <MISC> people speak?,O,match(p:Country)->[r:LANGUAGE_USED]-(u) where p.name=<LOCATION> return u.name,,,,
where did paul rudd go to high school?,where did <PERSON> go to high school?,O,match(p:Human)-[r:EDUCATED_AT]-(u) where p.name=<PERSON> return u.name,,,,
what gauge strings john mayer?,what gauge strings <PERSON>?,X,,,,,
what was abe lincoln shot with?,what was <PERSON> shot with?,X,,,,,
what did regina hall play in?,what did <PERSON> play in?,X,,,,,
who plays jacob black in twilight?,who plays <PERSON> in <TIME>?,X,,,,,
what american penny is worth money?,what <ORGANIZATION> is worth money?,X,,,,,
what book did jacob riis wrote?,what book did <PERSON> wrote?,O,match(p:Human)-[r:COMPOSER]-(u) where p.name=<PERSON> return u.name,,,,
what airport is close to scottsdale arizona?,what airport is close to <LOCATION>?,X,,,,,
who plays noah bennet?,who plays <PERSON>?,X,,,,,
when did the italian fascists came to power?,when did the <MISC> fascists came to power?,X,,,,,
who won american idol 2006 season 5?,who won <MISC> <DATE> season <NUMBER>?,X,,,,,
what to see in vietnam in two weeks?,what to see in <LOCATION> in <DURATION>?,X,,,,,
where do the chicago cubs play?,where do the <ORGANIZATION> play?,X,,,,,
where did reagan die?,where did <PERSON> die?,O,match (p:Human)-[r:PLACE_OF_DEATH]-(u) where p.name=<PERSON> return u.name,,,,
when did ian thorpe become famous?,when did <PERSON> become famous?,X,,,,,
what is the language used in indonesia?,what is the language used in <LOCATION>?,O,match(p:Country)->[r:LANGUAGE_USED]-(u) where p.name=<LOCATION> return u.name,,,,
what was irving langmuir famous for?,what was <PERSON> famous for?,X,,,,,
what are the traditions in jamaica?,what are the traditions in <LOCATION>?,X,,,,,
what is the official language of china called?,what is the official language of <LOCATION> called?,O,match(p:Country)->[r:LANGUAGE_USED]-(u) where p.name=<LOCATION> return u.name,,,,
where did mitt romney go to elementary school?,where did <PERSON> go to elementary school?,O,match(p:Human)-[r:EDUCATED_AT]-(u) where p.name=<PERSON> return u.name,,,,
where is the gulf of st lawrence river?,where is the gulf of <LOCATION>?,O,match (p)-[r:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(u) where p.name=<LOCATION> return u.name,,,,
what was the name of martin luther king jr parents?,what was the name of <PERSON> parents?,O,match (p:Human)-[r:CHILD]-(u:Human) where u.name=<PERSON> return p.name,,,,
what money does guatemala use?,what money does <LOCATION> use?,O,match(p:Country)->[r:CURRENCY]-(u) where p.name=<LOCATION> return u.name,,,,
who was president when nelson rockefeller was vice president?,who was president when <PERSON> was vice president?,X,,,,,
what year magic johnson retired?,what <DURATION> <PERSON> retired?,X,,,,,
what kind of government does spain have now?,what kind of government does <LOCATION> have <DATE>?,O,match(a)-[:BASIC_FORM_OF_GOVERNMENT]-(b) where a.name=<LOCATION> return b.name,,,,
what did freud say about women?,what did <PERSON> say about women?,X,,,,,
who plays young john winchester in supernatural?,who plays young <PERSON> in supernatural?,X,,,,,
who killed vincent chin film?,who killed <PERSON> film?,X,,,,,
where is shakira from originally?,where is <PERSON> from originally?,O,match(p:Human)-[r:PLACE_OF_BIRTH]-(u) where p.name=<PERSON> return u.name,,,,
what region is manchester england?,what region is <LOCATION>?,X,,,,,
where was the gettysburg war located?,where was the <MISC> located?,O,match (p)-[r:LOCATION]-(u) where p.name=<MISC> return u.name,,,,
what do people go to amsterdam for?,what do people go to <LOCATION> for?,X,,,,,
who is the elected governor of california?,who is the elected governor of <LOCATION>?,X,,,,,
what language chile speak?,what language <LOCATION> speak?,O,match(p:Country)->[r:LANGUAGE_USED]-(u) where p.name=<LOCATION> return u.name,,,,
what year did john glenn walk on the moon?,what <DURATION> did <PERSON> on the moon?,X,,,,,
what currency to take to side turkey?,what currency to take to side <LOCATION>?,O,match(p:Country)->[r:CURRENCY]-(u) where p.name=<LOCATION> return u.name,,,,
who founded the new democratic party?,who founded the new <ORGANIZATION>?,O,match(p:Human)<-[r:FOUNDED_BY]-(u) where u.name:<ORGANIZATION> return p.name,,,,
what were the causes of the russian revolution in 1917?,what were the causes of the <MISC> revolution in <DATE>?,X,,,,,
what team did john madden play football for?,what team did <PERSON> play football for?,X,,,,,
what does julian clary do?,what does <PERSON> do?,O,match (p:Human)-[r:OCCUPATION]-(u) where p.name=<PERSON> return u.name,,,,
where does the potomac river flow into?,where does the <LOCATION> flow into?,X,,,,,
where is the olympic national park located?,where is the <MISC> located?,O,match (p)-[r:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(u) where p.name=<MISC> return u.name,,,,
when does the world cup occur?,when does the <MISC> occur?,X,,,,,
what years the steelers won the super bowl?,what <DURATION> the <ORGANIZATION> won the super bowl?,X,,,,,
what art movement was vincent van gogh apart of?,what art movement was <PERSON> apart of?,X,,,,,
where does danish language come from?,where does <MISC> language come from?,X,,,,,
what countries are in the baltic region?,what countries are in the <MISC> region?,X,,,,,
what nation did hitler lead?,what nation did <PERSON> lead?,O,match (m)-[:HEAD_OF_GOVERNMENT]-(h) where h.name=<PERSON> return m.name,,,,
what time is in london heathrow?,what time is in <LOCATION> heathrow?,O,match (location)-[:LOCATED_IN_TIME_ZONE]-(timezone) where location.name=<LOCATION> return timezone.name,,,,
when were women allowed to go to the olympics?,when were women allowed to go to the <MISC>?,X,,,,,
what continent does the amazon river flow through?,what continent does the <LOCATION> flow through?,X,,,,,
what is a city in belgium?,what is a city in <LOCATION>?,O,match (c:City)-[:COUNTRY]-(n) where n.name=<LOCATION> return c.name,,,,
who played elle greenaway?,who played <PERSON>?,X,,,,,
what secondary school did adolf hitler go to?,what secondary school did <PERSON> go to?,O,match(p:Human)-[r:EDUCATED_AT]-(u) where p.name=<PERSON> return u.name,,,,
who was andy williams second wife?,who was <PERSON> <ORDINAL> wife?,O,match(p:Human)-[r:SPOUSE]-(u:Human) where p.name=<PERSON> return u.name,,,,
where are you from in egyptian arabic?,where are you from in <MISC>?,X,,,,,
what did captain scott die of?,what did captain <PERSON> of?,X,,,,,
where does the catholic church originated from?,where does the <MISC> church originated from?,X,,,,,
what city did elvis presley grew up in?,what city did <PERSON> grew up in?,X,,,,,
what continent is belize located in?,what continent is <LOCATION> located in?,O,match (m)-[:CONTINENT]-(c) where m.name=<LOCATION> return c.name,,,,
who was donald duck's girlfriend?,who was <PERSON>'s girlfriend?,O,match (p)-[r:PARTNER]-(u) where p.name=<PERSON> return u.name,,,,
what party was winston churchill in politics?,what party was <PERSON> in politics?,X,,,,,
what 4 teams did wayne gretzky play for?,what <NUMBER> teams did <PERSON> play for?,X,,,,,
who was philip randolph?,who was <PERSON>?,O,match (p:Human) where p.name=<PERSON> return p.description,,,,
where are brembo brakes from?,where are <ORGANIZATION> brakes from?,X,,,,,
what did taylor swift do at the vmas 2012?,what did <PERSON> do at the vmas <DATE>?,X,,,,,
who did russians descend from?,who did <MISC> descend from?,X,,,,,
what to see and do in san diego california?,what to see and do in <LOCATION>?,X,,,,,
what is the zip code for clarksville tn?,what is the zip code for <LOCATION> tn?,X,,,,,
where's wayne state?,where's <PERSON>?,X,,,,,
what dialect do most chinese speak?,what dialect do most <MISC> speak?,O,match(p:Country)->[r:LANGUAGE_USED]-(u) where p.name=<LOCATION> return u.name,,,,
who is the president of cuba in 2009?,who is the president of <LOCATION> in <DATE>?,X,,,,,
who does avril lavigne play in over the hedge?,who does <PERSON> play in over the hedge?,X,,,,,
where is the university of alabama?,where is the <ORGANIZATION>?,O,match (p)-[r:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(u) where p.name=<ORGANIZATION> return u.name,,,,
where is the country of armenia?,where is the country of <LOCATION>?,O,match (p)-[r:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(u) where p.name=<ORGANIZATION> return u.name,,,,
who tom cruise been married to?,who <PERSON> been married to?,O,match(p:Human)-[r:SPOUSE]-(u:Human) where p.name=<PERSON> return u.name,,,,
which country is gaza city located?,which country is <LOCATION> located?,O,match (p)-[r:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(u) where p.name=<ORGANIZATION> return u.name,,,,
who is president of pakistan 2012?,who is president of <LOCATION> <DATE>?,X,,,,,
what country did james watt come from?,what country did <PERSON> come from?,O,match (p:Human)-[r:PLACE_OF_BIRTH]-(u)-[:COUNTRY]->(v) where p.name=<PERSON>  return v.name,,,,
what instrument did louis armstrong like to play?,what instrument did <PERSON> like to play?,X,,,,,
what is the currency in germany in 2010?,what is the currency in <LOCATION> in <DATE>?,X,,,,,
what types of government does china have?,what types of government does <LOCATION> have?,O,match(a)-[:BASIC_FORM_OF_GOVERNMENT]-(b) where a.name=<LOCATION> return b.name,,,,
where is the boeing company?,where is the <ORGANIZATION> company?,O,match (p)-[r:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(u) where p.name=<ORGANIZATION> return u.name,,,,
what does bill gates own?,what does <PERSON> own?,X,,,,,
what organism did mendel use?,what organism did <PERSON> use?,X,,,,,
what are the two houses in congress?,what are the <NUMBER> houses in <ORGANIZATION>?,X,,,,,
what team does ladainian tomlinson play 4?,what team does <PERSON> play <NUMBER>?,X,,,,,
what is the major language spoken in canada?,what is the major language spoken in <LOCATION>?,O,match(p:Country)->[r:LANGUAGE_USED]-(u) where p.name=<LOCATION> return u.name,,,,
what did camille grammer do for a living?,what did <PERSON> do for a living?,O,match (p:Human)-[r:OCCUPATION]-(u) where p.name=<PERSON> return u.name,,,,
what jamaican language called?,what <MISC> language called?,O,match(p:Country)->[r:LANGUAGE_USED]-(u) where p.name=<LOCATION> return u.name,,,,
what planet was luke skywalker raised on?,what planet was <PERSON> raised on?,X,,,,,
who did georgia o'keeffe inspired?,who did <ORGANIZATION> inspired?,X,,,,,
who does brandon jacobs play for?,who does <PERSON> play for?,X,,,,,
what is the government structure of germany?,what is the government structure of <LOCATION>?,O,match(a)-[:BASIC_FORM_OF_GOVERNMENT]-(b) where a.name=<LOCATION> return b.name,,,,
who was queen elizabeth the first's mother?,who was queen <PERSON> the <ORDINAL>'s mother?,O,match (p:Human)-[:MOTHER]-(u) where p.name=<PERSON> return u.name,,,,
who is the leader of the dominican republic 2011?,who is the leader of the <LOCATION> <DATE>?,X,,,,,
where did the anglican church start?,where did the <MISC> church start?,X,,,,,
who does obama look up to?,who does <PERSON> look up to?,X,,,,,
where did william mckinley go to high school?,where did <PERSON> go to high school?,O,match(p:Human)-[r:EDUCATED_AT]-(u) where p.name=<PERSON> return u.name,,,,
who played heath barkley?,who played <PERSON>?,X,,,,,
what year did baltimore ravens win the superbowl?,what <DURATION> did <ORGANIZATION> win the superbowl?,X,,,,,
what is the name of the money used in spain?,what is the name of the money used in <LOCATION>?,O,match(p:Country)->[r:CURRENCY]-(u) where p.name=<LOCATION> return u.name,,,,
what did edward jenner do for a living?,what did <PERSON> do for a living?,O,match (p:Human)-[r:OCCUPATION]-(u) where p.name=<PERSON> return u.name,,,,
when did shawn johnson won the gold medal?,when did <PERSON> won the gold medal?,X,,,,,
what did brittany murphy died of?,what did <PERSON> died of?,X,,,,,
what type of political system does north korea have?,what type of political system does <LOCATION> have?,O,match(a)-[:BASIC_FORM_OF_GOVERNMENT]-(b) where a.name=<LOCATION> return b.name,,,,
when does ramadan end 2012 indonesia?,when does ramadan <DATE> <LOCATION>?,X,,,,,
who will play clary in city of bones?,who will play <PERSON> in city of bones?,X,,,,,
what books did frances hodgson burnett wrote?,what books did <PERSON> wrote?,O,match(p:Human)-[r:COMPOSER]-(u) where p.name=<PERSON> return u.name,,,,
what year did edgar allan poe go to college?,what <DURATION> did <PERSON> go to college?,X,,,,,
where is amsterdam ohio?,where is <LOCATION>?,O,match (p)-[r:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(u) where p.name=<LOCATION> return u.name,,,,
who are the two current senators of illinois?,who are the <NUMBER> current senators of <LOCATION>?,X,,,,,
when did the orioles win the pennant?,when did the <ORGANIZATION> win the pennant?,X,,,,,
who did stephenie meyer play in twilight?,who did <PERSON> play in <TIME>?,X,,,,,
what 3 countries does mexico border?,what <NUMBER> countries does <LOCATION> border?,X,,,,,
who played giles on buffy the vampire slayer?,who played <PERSON> on buffy the vampire slayer?,X,,,,,
what teams are in the american league west?,what teams are in the <MISC>?,X,,,,,
what books did robert burns wrote?,what books did <PERSON> wrote?,O,match(p:Human)-[r:COMPOSER]-(u) where p.name=<PERSON> return u.name,,,,
where does drogba play now?,where does <PERSON> play <DATE>?,X,,,,,
who owns chrysler corporation 2012?,who owns <ORGANIZATION> corporation <DATE>?,X,,,,,
what are the name of mitt romney sons?,what are the name of <PERSON> sons?,O,match (p:Human)-[r:CHILD]-(u:Human) where p.name=<PERSON> return u.name,,,,
what was the cause of death of larry hagman?,what was the cause of death of <PERSON>?,O,match (p:Human)-[r:CAUSE_OF_DEATH]-(u) where p.name=<PERSON> return u.name,,,,
what is the rainforest in south america called?,what is the rainforest in <LOCATION> called?,X,,,,,
what school did sir isaac newton go to?,what school did sir <PERSON> go to?,O,match(p:Human)-[r:EDUCATED_AT]-(u) where p.name=<PERSON> return u.name,,,,
what was robert hooke's contributions to science?,what was <PERSON>'s contributions to science?,X,,,,,
how many major dialects are there in china?,how many major dialects are there in <LOCATION>?,X,,,,,
in which country is mount everest found?,in which country is <LOCATION> found?,O,match (p)-[r:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(u) where p.name=<LOCATION> return u.name,,,,
what form of government does germany use?,what form of government does <LOCATION> use?,O,match(a)-[:BASIC_FORM_OF_GOVERNMENT]-(b) where a.name=<LOCATION> return b.name,,,,
what age do scottish people go to university?,what age do <MISC> people go to university?,X,,,,,
what language do haitian speak?,what language do <LOCATION> speak?,O,match(p:Country)->[r:LANGUAGE_USED]-(u) where p.name=<LOCATION> return u.name,,,,
who is nick grimshaw?,who is <PERSON>?,O,match (p:Human) where p.name=<PERSON> return p.description,,,,
what did florence sabin do?,what did <LOCATION> do?,X,,,,,
who played betty rizzo in grease?,who played <PERSON> in grease?,X,,,,,
who played wesley crusher on star trek the next generation?,who played <PERSON> on star trek the next generation?,X,,,,,
when did sherlock holmes live?,when did <PERSON> live?,O,match (p:FictionalHuman)-[r:RESIDENCE]-(u) where p.name=<PERSON> return u.name,,,,
where did audie murphy grow up?,where did <PERSON> grow up?,X,,,,,
what school does bart simpson go to?,what school does <PERSON> go to?,O,match(p:Human)-[r:EDUCATED_AT]-(u) where p.name=<PERSON> return u.name,,,,
where is mark sanchez now?,where is <PERSON> <DATE>?,X,,,,,
where was the battle of verdun ww1?,where was the battle of <LOCATION> ww1?,X,,,,,
what year did kobe bryant go to high school?,what <DURATION> did <PERSON> go to high school?,X,,,,,
where is okemos michigan?,where is <LOCATION>?,O,match (p)-[r:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(u) where p.name=<LOCATION> return u.name,,,,
where did caroline kennedy go to school?,where did <PERSON> go to school?,O,match(p:Human)-[r:EDUCATED_AT]-(u) where p.name=<PERSON> return u.name,,,,
what type of government is the us government?,what type of government is the <LOCATION> government?,O,match(a)-[:BASIC_FORM_OF_GOVERNMENT]-(b) where a.name=<LOCATION> return b.name,,,,
what is shakespeare's parents names?,what is <PERSON>'s parents names?,O,match (p)-[:CHILD]-(h) where h.name=<PERSON> return p.name,,,,
what was sir arthur conan doyle famous for?,what was sir <PERSON> famous for?,X,,,,,
who is the ravens coach?,who is the <ORGANIZATION> coach?,X,,,,,
what college did ron jaworski go to?,what college did <PERSON> go to?,O,match(p:Human)->[r:EDUCATED_AT-(u) where p.name=<PERSON> return u.name,,,,
what team does allen iverson play for now?,what team does <PERSON> play for <DATE>?,X,,,,,
where did sir richard grenville explore?,where did sir <PERSON> explore?,X,,,,,
what years did the atlanta braves win the world series?,what <DURATION> did the <ORGANIZATION> win the world series?,X,,,,,
when does school start in hillsborough county?,when does school start in <LOCATION>?,X,,,,,
where did jfk and his wife live?,where did <PERSON> and his wife live?,O,match (p:Human)-[r:RESIDENCE]-(u) where p.name=<PERSON> return u.name,,,,
what are the basic beliefs of islam religion?,what are the basic beliefs of <MISC> religion?,X,,,,,
what is modern egyptian language?,what is modern <LOCATION> language?,O,match(p:Country)->[r:LANGUAGE_USED]-(u) where p.name=<LOCATION> return u.name,,,,
where does sam shepard live?,where does <PERSON> live?,O,match (p:Human)-[r:RESIDENCE]-(u) where p.name=<PERSON> return u.name,,,,
in what state was the air force academy established?,in what state was the <ORGANIZATION> established?,O,match (p)-[r:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(u) where p.name=<LOCATION> return u.name,,,,
where did the battle of the alamo start?,where did the battle of the <LOCATION> start?,X,,,,,
what do barack obama do as a president?,what do <PERSON> do as a president?,X,,,,,
what are the names of harry potter books in order?,what are the names of <PERSON> books in order?,X,,,,,
what currency should i bring to italy?,what currency should i bring to <LOCATION>?,O,match(p:Country)->[r:CURRENCY]-(u) where p.name=<LOCATION> return u.name,,,,
what years did the orioles play in the world series?,what <DURATION> did the <ORGANIZATION> play in the world series?,X,,,,,
what does the roman empire consist of?,what does the <MISC> empire consist of?,X,,,,,
what did fred goodwin do?,what did <PERSON> do?,O,match (p:Human)-[r:OCCUPATION]-(u) where p.name=<PERSON> return u.name,,,,
what did isaac newton contribute to science?,what did <PERSON> contribute to science?,X,,,,,
what school did burne hogarth establish?,what school did <PERSON> establish?,X,,,,,
what is the economy of china?,what is the economy of <LOCATION>?,X,,,,,
who is marilyn monroe and why is she famous?,who is <PERSON> and why is she famous?,O,match (p:Human) where p.name=<PERSON> return p.description,,,,
where is port charlotte florida located?,where is port <LOCATION> located?,O,match (p)-[r:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(u) where p.name=<LOCATION> return u.name,,,,
what time zone is it in california?,what time zone is it in <LOCATION>?,O,match (location)-[:LOCATED_IN_TIME_ZONE]-(timezone) where location.name=<LOCATION> return timezone.name,,,,
who is reba mcentire's son?,who is <PERSON>'s son?,X,,,,,
who helped form the american federation of labor?,who helped form the <ORGANIZATION>?,X,,,,,
who did julie andrews play in shrek?,who did <PERSON> play in shrek?,X,,,,,
what songs did whitney houston?,what songs did <PERSON>?,O,match (p:Human)<-[:PERFORMER]-(u) where p.name=<PERSON> and u:Song return u.name,,,,
when did the celtics win championship?,when did the <ORGANIZATION> win championship?,X,,,,,
what does canada export and import the most?,what does <LOCATION> export and import the most?,X,,,,,
what episode does eric northman come in?,what episode does <PERSON> come in?,X,,,,,
what was elijah mccoy famous for?,what was <PERSON> famous for?,X,,,,,
who did john paul jones fight for?,who did <PERSON> fight for?,X,,,,,
where does hudson river start?,where does <LOCATION> start?,X,,,,,
where was brad paisley born and raised?,where was <PERSON> born and raised?,O,match(p:Human)-[r:PLACE_OF_BIRTH]-(u:LOC) where p.name=<PERSON> return u.name,,,,
what is charlotte north carolina known for?,what is <LOCATION> known for?,X,,,,,
where is glastonbury connecticut?,where is <LOCATION>?,O,match (p)-[r:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(u) where p.name=<LOCATION> return u.name,,,,
what is george washington's hometown?,what is <PERSON>'s hometown?,O,match(p:Human)-[r:PLACE_OF_BIRTH]-(u:LOC) where p.name=<PERSON> return u.name,,,,
what is arlington texas zip code?,what is <LOCATION> zip code?,X,,,,,
what years did yankees win championships?,what <DURATION> did <ORGANIZATION> win championships?,X,,,,,
what characters does seth macfarlane play in family guy?,what characters does <PERSON> play in family guy?,X,,,,,
what airport fly into miami?,what airport fly into <LOCATION>?,X,,,,,
what year did steve nash play for the mavericks?,what <DURATION> did <PERSON> play for the mavericks?,X,,,,,
where is arabic used?,where is <MISC> used?,X,,,,,
what book did charles darwin write on evolution?,what book did <PERSON> write on evolution?,O,match(p:Human)-[r:COMPOSER]-(u) where p.name=<PERSON> return u.name,,,,
what are all songs by taylor swift?,what are all songs by <PERSON>?,O,match (p:Human)<-[:PERFORMER]-(u) where p.name=<PERSON> return u.name,,,,
what instruments does katy perry play?,what instruments does <PERSON> play?,O,match (p:Human)-[:INSTRUMENT]-(u) where p.name=<PERSON> return u.name,,,,
who was francis drake married to?,who was <PERSON> married to?,O,match(p:Human)-[r:SPOUSE]-(u:Human) where p.name=<PERSON> return u.name,,,,
where were the chickasaw indians located?,where were the <MISC> located?,O,match (p)-[r:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(u) where p.name=<LOCATION> return u.name,,,,
where does don king live?,where does don king live?,X,,,,,
when was tom brady first superbowl win?,when was <PERSON> <ORDINAL> superbowl win?,X,,,,,
who did deborah sampson married?,who did <PERSON> married?,O,match(p:Human)-[r:SPOUSE]-(u:Human) where p.name=<PERSON> return u.name,,,,
what form of government does mexico?,what form of government does <LOCATION>?,O,match(a)-[:BASIC_FORM_OF_GOVERNMENT]-(b) where a.name=<LOCATION> return b.name,,,,
who played mickey on days of our lives?,who played <PERSON> on <DURATION> of our lives?,X,,,,,
what movies does nicole kidman star in?,what movies does <PERSON> star in?,O,match(p:Human)<-[r:CAST_MEMBER]-(u) where p.name=<PERSON> return u.name,,,,
who was michael jackson first girlfriend?,who was <PERSON> <ORDINAL> girlfriend?,O,match (p:Human)-[:PARTNER]-(u) where p.name=<PERSON> return u.name,,,,
where to stay in san francisco ca?,where to stay in <LOCATION> ca?,X,,,,,
what team does reggie bush play for 2011?,what team does <PERSON> play for <DATE>?,X,,,,,
where did kate chopin grow up?,where did <PERSON> grow up?,X,,,,,
